,Landmark,Latitude,Longitude,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id
0,Alice Austen House,40.61513305,-74.0630282760101,Art Museum,,,,,,,False,4bb6360a46d4a593f3ddc5c0,2 Hylan Blvd,US,Staten Island,United States,Edgewater St,11,"['2 Hylan Blvd (Edgewater St)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.615214410997844, 'lng': -74.06294180347187}]",40.615214410997844,-74.06294180347187,,10305,NY,Alice Austen House,v-1543772996,
1,Alice Austen House,40.61513305,-74.0630282760101,Beach,,,,,,,False,4c2cace8d1a10f47f1c9f964,Hylan Blvd,US,Staten Island,United States,at New York Harbor,97,"['Hylan Blvd (at New York Harbor)', 'Staten Island, NY', 'United States']","[{'label': 'display', 'lat': 40.61580041031263, 'lng': -74.06376722050776}]",40.61580041031263,-74.06376722050776,,,NY,Buono Beach,v-1543772996,
2,Alice Austen House,40.61513305,-74.0630282760101,Waterfront,,,,,,,False,589f7f342f91cb5d95a81926,1 Hylan Blvd,US,Staten Island,United States,Edgewater Streey,45,"['1 Hylan Blvd (Edgewater Streey)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61551, 'lng': -74.06323}]",40.61551,-74.06323,,10305,NY,Harbor House,v-1543772996,
3,Alice Austen House,40.61513305,-74.0630282760101,Beach,,,,,,,False,4bcb1632fb84c9b62e191e3e,296 Edgewater St,US,Staten Island,United States,,145,"['296 Edgewater St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.615867950594655, 'lng': -74.06445562514784}]",40.615867950594655,-74.06445562514784,,10305,NY,Penny Beach,v-1543772996,
4,Alice Austen House,40.61513305,-74.0630282760101,Bowling Alley,,,,,,,False,4d158653e190721e2c9a0f21,,US,,United States,,44,"['New York', 'United States']","[{'label': 'display', 'lat': 40.61490033333333, 'lng': -74.063452}]",40.61490033333333,-74.063452,,,New York,Penny Beach Bowling,v-1543772996,
5,Alice Austen House,40.61513305,-74.0630282760101,Police Station,,,,,,,False,4e4b4b1e1f6e2a789a865168,,US,,United States,,138,"['New York', 'United States']","[{'label': 'display', 'lat': 40.61453041647184, 'lng': -74.06446709853729}]",40.61453041647184,-74.06446709853729,,,New York,Lane 25,v-1543772996,
6,Alice Austen House,40.61513305,-74.0630282760101,Office,,,,,,,False,4fe380eae4b061f3978b08cc,,US,Staten Island,United States,,110,"['Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.616034, 'lng': -74.063577}]",40.616034,-74.063577,,10305,NY,Island Computer Products,v-1543772996,
7,Alice Austen House,40.61513305,-74.0630282760101,Liquor Store,,,,,,,False,4df7e79ad164d347cc71176f,1191 Bay St,US,Staten Island,United States,,236,"['1191 Bay St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.614160695340225, 'lng': -74.06551117406576}]",40.614160695340225,-74.06551117406576,,10305,NY,Hylan Bay Wine & Liquor,v-1543772996,
8,Alice Austen House,40.61513305,-74.0630282760101,Bike Shop,,,,,,,False,50410412e4b08d9f58791a59,1178 Bay St,US,Staten Island,United States,Clifton Ave & Hyland Blvd.,380,"['1178 Bay St (Clifton Ave & Hyland Blvd.)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.617224249826975, 'lng': -74.06658392698724}]",40.617224249826975,-74.06658392698724,,10305,NY,NYC Bicycle Shop,v-1543772996,
9,Alice Austen House,40.61513305,-74.0630282760101,Cruise,,,,,,,False,5688f405498e2901bab99ad0,,US,Staten Island,United States,,454,"['Staten Island, NY', 'United States']","[{'label': 'display', 'lat': 40.617181, 'lng': -74.058379}]",40.617181,-74.058379,,,NY,Queen Mary 2,v-1543772996,
10,Alice Austen House,40.61513305,-74.0630282760101,Building,,,,,,,False,512e5f54e4b024b2b5332632,,US,Staten Island,United States,,142,"['Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.615816798456514, 'lng': -74.06445562514784}]",40.615816798456514,-74.06445562514784,,10305,NY,Icp 20 Clifton,v-1543772996,
11,Alice Austen House,40.61513305,-74.0630282760101,Neighborhood,,,,,,,False,5001f2dee4b0382b9fe9c37a,,US,Staten Island,United States,,286,"['Staten Island, NY 10305', 'United States']",,40.61403388508594,-74.06609058380127,,10305,NY,Rosebank,v-1543772996,
12,Alice Austen House,40.61513305,-74.0630282760101,Bank,,,,,,,False,4ed653516aa31a0c449780ec,1201 Bay St,US,Staten Island,United States,,287,"['1201 Bay St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.614089, 'lng': -74.066134}]",40.614089,-74.066134,,10305,NY,Liberty Tax,v-1543772996,
13,Alice Austen House,40.61513305,-74.0630282760101,Arts & Crafts Store,,,,,,,False,59dbb1e553159309e70dfba2,,US,New York,United States,,288,"['New York, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.613392, 'lng': -74.065562}]",40.613392,-74.065562,,10305,NY,Make And Take,v-1543772996,
14,Alice Austen House,40.61513305,-74.0630282760101,Building,,,,,,,False,4b8f0146f964a520ed4333e3,,US,Staten Island,United States,,400,"['Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.6146467732009, 'lng': -74.06772806256478}]",40.6146467732009,-74.06772806256478,,10305,NY,clifton ave,v-1543772996,
15,Alice Austen House,40.61513305,-74.0630282760101,Bus Stop,,,,,,,False,4d5e6d18196ba09346650156,Bay St,US,Staten Island,United States,at New La,374,"['Bay St (at New La)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.611977350548635, 'lng': -74.06454710211536}]",40.611977350548635,-74.06454710211536,,10305,NY,MTA Bus - Bay St & New La (S51),v-1543772996,
16,Alice Austen House,40.61513305,-74.0630282760101,Intersection,,,,,,,False,4e4d23508877d7626309c769,Hylan Blvd,US,,United States,at Bay St,215,"['Hylan Blvd (at Bay St)', 'New York', 'United States']","[{'label': 'display', 'lat': 40.613853076808546, 'lng': -74.06493394619177}]",40.613853076808546,-74.06493394619177,,,New York,Hylan Blvd & Bay Street,v-1543772996,
17,Alice Austen House,40.61513305,-74.0630282760101,Lawyer,,,,,,,False,57873bf4cd10f40108535d3c,1 Edgewater St,US,Staten Island,United States,,641,"['1 Edgewater St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.6192731, 'lng': -74.0683014}]",40.6192731,-74.0683014,,10305,NY,Kuhn O'Toole & Maietta,v-1543772996,
18,Alice Austen House,40.61513305,-74.0630282760101,Donut Shop,,,,,,,False,4b926617f964a520c6f633e3,1131 Bay St,US,Staten Island,United States,at Clifton Ave,305,"['1131 Bay St (at Clifton Ave)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61528403679016, 'lng': -74.06664311885834}]",40.61528403679016,-74.06664311885834,,10305,NY,Dunkin' Donuts,v-1543772996,
19,Alice Austen House,40.61513305,-74.0630282760101,,,,,,,,False,4d15215c81cea35dd896d8ec,38 Wiman Pl,US,Staten Island,United States,,288,"['38 Wiman Pl', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61582, 'lng': -74.06632}]",40.61582,-74.06632,,10305,NY,Good counsel,v-1543772996,
20,Alice Austen House,40.61513305,-74.0630282760101,Breakfast Spot,,,,,,,False,544d2e21498e7d4b1be42916,1189 Bay St,US,Staten Island,United States,Hylan Blvd.,291,"['1189 Bay St (Hylan Blvd.)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.614228831719466, 'lng': -74.06627117792073}]",40.614228831719466,-74.06627117792073,,10305,NY,J's on the Bay,v-1543772996,
21,Alice Austen House,40.61513305,-74.0630282760101,Funeral Home,,,,,,,False,4e173820d4c0c7a8fbb9770a,1707 Hylan Blvd,US,Staten Island,United States,,314,"['1707 Hylan Blvd', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.612321, 'lng': -74.063332}]",40.612321,-74.063332,,10305,NY,Nevsky Funeral Home,v-1543772996,
22,Alice Austen House,40.61513305,-74.0630282760101,,,,,,,,False,4c772bb607818cfabceed3e3,16 Young St,US,Staten Island,United States,Van duzer,366,"['16 Young St (Van duzer)', 'Staten Island, NY 10304', 'United States']","[{'label': 'display', 'lat': 40.611994, 'lng': -74.061708}]",40.611994,-74.061708,,10304,NY,16 young street,v-1543772996,
23,Alice Austen House,40.61513305,-74.0630282760101,,,,,,,,False,4cc0a79b5684a35d40e4b30d,,US,Staten Island,United States,,301,"['Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61268, 'lng': -74.06455}]",40.61268,-74.06455,,10305,NY,Bay st cafe,v-1543772996,
24,Alice Austen House,40.61513305,-74.0630282760101,,,,,,,,False,4c7fd36fd92ea09397353272,187 Quintard St,US,Staten Island,United States,Reid ave,366,"['187 Quintard St (Reid ave)', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.611994, 'lng': -74.061708}]",40.611994,-74.061708,,10305,NY,187 quintard,v-1543772996,
25,Alice Austen House,40.61513305,-74.0630282760101,Cosmetics Shop,,,,,,,False,4c1d41db63750f4752f9b767,1145 Bay St,US,Staten Island,United States,,327,"['1145 Bay St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.615109801540434, 'lng': -74.06690336642889}]",40.615109801540434,-74.06690336642889,,10305,NY,Nails 21,v-1543772996,
26,Alice Austen House,40.61513305,-74.0630282760101,Hookah Bar,,,,,,,False,4cf5756a55e137047d7ec6b6,200 Edgewater St,US,Staten Island,United States,,232,"['200 Edgewater St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61659658333333, 'lng': -74.06498433333333}]",40.61659658333333,-74.06498433333333,,10305,NY,Wu Tang Clan,v-1543772996,
27,Alice Austen House,40.61513305,-74.0630282760101,Beach,,,,,,,False,4e73078efa76812398aa58c2,,US,,United States,,190,"['New York', 'United States']","[{'label': 'display', 'lat': 40.61606972013492, 'lng': -74.06492029686433}]",40.61606972013492,-74.06492029686433,,,New York,Edisto Beach,v-1543772996,
28,Alice Austen House,40.61513305,-74.0630282760101,Music Store,,,,,,,False,4dc1e8bb7d8b686fa471d23b,1250-1252 Bay St,US,Staten Island,United States,,309,"['1250-1252 Bay St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61302677572077, 'lng': -74.065412818012}]",40.61302677572077,-74.065412818012,,10305,NY,Phrygian Studios,v-1543772996,
29,Alice Austen House,40.61513305,-74.0630282760101,Seafood Restaurant,,,,,,,False,4f32072519833175d60b2396,1071 Bay St,US,Staten Island,United States,,456,"['1071 Bay St', 'Staten Island, NY 10305', 'United States']","[{'label': 'display', 'lat': 40.61667, 'lng': -74.068043}]",40.61667,-74.068043,,10305,NY,Sea Breeze Fish and Seafood Of Staten Island,v-1543772996,
0,Bell Laboratories Building,40.7364827,-74.0086542437604,Dance Studio,,,,,,,False,516222ffe4b0a4bc40e5bd98,55 Bethune St,US,New York,United States,,22,"['55 Bethune St', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.73655439442101, 'lng': -74.00840760728208}]",40.73655439442101,-74.00840760728208,,10014,NY,Martha Graham Dance Center,v-1543772997,
1,Bell Laboratories Building,40.7364827,-74.0086542437604,Building,,,,,,,False,4b633d8ef964a520e46c2ae3,55 Bethune St,US,New York,United States,Washington,69,"['55 Bethune St (Washington)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736451779134, 'lng': -74.00947819173747}]",40.736451779134,-74.00947819173747,,10014,NY,Westbeth Artists' Housing,v-1543772997,
2,Bell Laboratories Building,40.7364827,-74.0086542437604,Italian Restaurant,,,,,,,False,4d327cc72e56236a18991db4,753 Washington St,US,New York,United States,at Bethune St,63,"['753 Washington St (at Bethune St)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736859, 'lng': -74.008093}]",40.736859,-74.008093,,10014,NY,Malaparte,v-1543772997,
3,Bell Laboratories Building,40.7364827,-74.0086542437604,Theme Park Ride / Attraction,,,,,,,False,5a768933da5ede57dcf6123a,137 BANK ST,US,New York,United States,Washington St,33,"['137 BANK ST (Washington St)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736234, 'lng': -74.008426}]",40.736234,-74.008426,West Village,10014,NY,THRILLER CITY NYC,v-1543772997,491552956
4,Bell Laboratories Building,40.7364827,-74.0086542437604,Indie Theater,,,,,,,False,4c97bd2694bfb60c5de27514,55 Bethune St,US,New York,United States,Washington,45,"['55 Bethune St (Washington)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736537571313704, 'lng': -74.00918600081165}]",40.736537571313704,-74.00918600081165,,10014,NY,Westbeth Theatre Center,v-1543772997,
5,Bell Laboratories Building,40.7364827,-74.0086542437604,Art Gallery,,,,,,,False,4fe64de9e4b0972a1d2d8ae4,57 Bethune St,US,New York,United States,,76,"['57 Bethune St', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.73680164042104, 'lng': -74.0094601030208}]",40.73680164042104,-74.0094601030208,,10014,NY,Westbeth Gallery,v-1543772997,
6,Bell Laboratories Building,40.7364827,-74.0086542437604,School,,,,,,,False,55f604a2498e4d6d564e6984,155 Bank St,US,New York,United States,West St,104,"['155 Bank St (West St)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.73632233508789, 'lng': -74.0098766432991}]",40.73632233508789,-74.0098766432991,,10014,NY,School for Poetic Computation,v-1543772997,
7,Bell Laboratories Building,40.7364827,-74.0086542437604,Theater,,,,,,,False,3fd66200f964a52019e71ee3,155 Bank St,US,New York,United States,,68,"['155 Bank St', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736390621636595, 'lng': -74.00946305588018}]",40.736390621636595,-74.00946305588018,,10014,NY,Bank Street Theater,v-1543772997,
8,Bell Laboratories Building,40.7364827,-74.0086542437604,Train Station,,,,,,,False,4de087f5c65bcc724f42a314,1 Hudson Pl,US,Hoboken,United States,,1724,"['1 Hudson Pl', 'Hoboken, NJ 07030', 'United States']",,40.73507121018397,-74.02901675008535,,07030,NJ,Hoboken Terminal,v-1543772997,
9,Bell Laboratories Building,40.7364827,-74.0086542437604,Bike Rental / Bike Share,,,,,,,False,51a161c28bbd0c6641809480,Bank & Washington Sts,US,New York,United States,,32,"['Bank & Washington Sts', 'New York, NY', 'United States']","[{'label': 'display', 'lat': 40.7361967, 'lng': -74.00859207}]",40.7361967,-74.00859207,,,NY,Citi Bike Station,v-1543772997,
10,Bell Laboratories Building,40.7364827,-74.0086542437604,Other Event,,,,,,,False,5bc91332340a58002c10daa5,463 West St,US,New York,United States,,55,"['463 West St', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736382, 'lng': -74.009294}]",40.736382,-74.009294,,10014,NY,House Of Peroni,v-1543772997,
11,Bell Laboratories Building,40.7364827,-74.0086542437604,Event Space,,,,,,,False,4a8c9358f964a5208e0e20e3,463 West St,US,New York,United States,,81,"['463 West St', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.736599434375854, 'lng': -74.00961403797297}]",40.736599434375854,-74.00961403797297,,10014,NY,Ramscale Studios,v-1543772997,
