,Landmark,Latitude,Longitude,categories,id,location.cc,location.city,location.country,location.distance,location.formattedAddress,location.lat,location.lng,location.state,name
0,Alice Austen House,40.61513305,-74.0630282760101,Art Museum,4bb6360a46d4a593f3ddc5c0,US,Staten Island,United States,11,"['2 Hylan Blvd (Edgewater St)', 'Staten Island, NY 10305', 'United States']",40.615214410997844,-74.06294180347187,NY,Alice Austen House
1,Alice Austen House,40.61513305,-74.0630282760101,Beach,4c2cace8d1a10f47f1c9f964,US,Staten Island,United States,97,"['Hylan Blvd (at New York Harbor)', 'Staten Island, NY', 'United States']",40.61580041031263,-74.06376722050776,NY,Buono Beach
2,Alice Austen House,40.61513305,-74.0630282760101,Waterfront,589f7f342f91cb5d95a81926,US,Staten Island,United States,45,"['1 Hylan Blvd (Edgewater Streey)', 'Staten Island, NY 10305', 'United States']",40.61551,-74.06323,NY,Harbor House
3,Alice Austen House,40.61513305,-74.0630282760101,Beach,4bcb1632fb84c9b62e191e3e,US,Staten Island,United States,145,"['296 Edgewater St', 'Staten Island, NY 10305', 'United States']",40.615867950594655,-74.06445562514784,NY,Penny Beach
4,Alice Austen House,40.61513305,-74.0630282760101,Bowling Alley,4d158653e190721e2c9a0f21,US,,United States,44,"['New York', 'United States']",40.61490033333333,-74.063452,New York,Penny Beach Bowling
5,Alice Austen House,40.61513305,-74.0630282760101,Police Station,4e4b4b1e1f6e2a789a865168,US,,United States,138,"['New York', 'United States']",40.61453041647184,-74.06446709853729,New York,Lane 25
6,Alice Austen House,40.61513305,-74.0630282760101,Office,4fe380eae4b061f3978b08cc,US,Staten Island,United States,110,"['Staten Island, NY 10305', 'United States']",40.616034,-74.063577,NY,Island Computer Products
7,Alice Austen House,40.61513305,-74.0630282760101,Liquor Store,4df7e79ad164d347cc71176f,US,Staten Island,United States,236,"['1191 Bay St', 'Staten Island, NY 10305', 'United States']",40.614160695340225,-74.06551117406576,NY,Hylan Bay Wine & Liquor
8,Alice Austen House,40.61513305,-74.0630282760101,Bike Shop,50410412e4b08d9f58791a59,US,Staten Island,United States,380,"['1178 Bay St (Clifton Ave & Hyland Blvd.)', 'Staten Island, NY 10305', 'United States']",40.617224249826975,-74.06658392698724,NY,NYC Bicycle Shop
9,Alice Austen House,40.61513305,-74.0630282760101,Cruise,5688f405498e2901bab99ad0,US,Staten Island,United States,454,"['Staten Island, NY', 'United States']",40.617181,-74.058379,NY,Queen Mary 2
10,Alice Austen House,40.61513305,-74.0630282760101,Building,512e5f54e4b024b2b5332632,US,Staten Island,United States,142,"['Staten Island, NY 10305', 'United States']",40.615816798456514,-74.06445562514784,NY,Icp 20 Clifton
